13,"AWS,NodeJS,AngularJS, Android, PHP, MySQL, Javascript, AJAX, XML, PERL, JQUERY, JSON, Zend, Symfony, Yii, HTML, CSS, Oracle,LAMP, Android SDK, Cordova, Phonegap,   IT Skills Details  UI DevelopmentWeb Developer / Software Developer / Team Leader with close to 7 Years of Work ExperienceAJAXPHPMySQLJavaScriptYIIZENDSYMFONYOracleCordovaPhoneGapANDROID Keyskills:    Ruby Rails, Phonegap, Android, Postgresql, HTML, CSS, Javascript, JQuery, JSON,, Cordova, AngularJs   Keyskills:    JavaScript, CSS3, HTML5, JQuery, JSON, AJAX, ZURB Foundation, Bootstrap, Flash Action Script 3.0, 2.0, SCORM  ...View More  1.2, Flex 4.5 for Android - (Interactive level), PhoneGap for Web based mobile applications development, PHP, HTML, HTML5    Keyskills:    Xamarin,Xamarin forms,ionic,Hybrid mobile application development,Phonegap,cordova,Ibm  ...View More  worklight,AngularJs,Jquery,JQuery Mobile,Javascript,HTML5,CSS,ASP.Net,SQL Server,C#,WCF,ADO.Net,JSON,Ajax,Android SDK,IOS,XCode,SQLite,XML,WCF Services,LINQ,    Keyskills:    HTML 5, CSS 3, Javascript, JQuery, Bootstrap, AngularJS, HTML, CSS, Ajax, DOM, Photoshop, Illustrator,   Keyskills:    HTML5, HTML, CSS3, CSS, Dreamweaver, Photoshop,coraldraw, Js, jquery, basic Angular js, Flash   Keyskills:    HTML5, CSS3, Javascript, JQuery, Angular JS, bootstrap, CSS, HTML   Keyskills:    Bootstrap,html5,css,Javascripts,Jquery,AngularJs etc . Project management,Vendor development,Business  ...View More  development,Technology Management,IT Strategy Planning,Karma,Angularjs,Grunt,HTML,Node.Js,CSS,Ajax,Web Technologies,Jasmine,Gulf,bower,npm, JavaScript, C#.NET, SQL, Angular js    Keyskills:    Angular JS, JAVA, JSP, CSS, HTML, JQUERY, Ext-js, JavaScript, Spring MVC, PL-SQL, Oracle Databases, Angular  ...View More  JS, XML, XSL, JSON, AJAX, CORE JAVA, C, C++    Keyskills:    PHP,MySql,CodeIgniter, Symfony, Laravel, Dreamfactory, Angularjs,Opencart"
14,"Javascript, PHP, Zend Framework, backbone,angularjs,reactjs, ionic,html5, CSS, C++, Python, Linux, Cloud Computing, AWS, MySQL, elasticsearch, NoSQL,Sass   IT Skills Details  Core PHP,Codeigniter Framework,Ionic Framework,Yii,Django,Web Development,C,SAAS,Wordpress,Web TechnologiesDevelopment Lead with more than four years of experience in Web,Cloud and Mobile Application 
DevelopmentSkill UsedSkill UsedSkill UsedSkill UsedJavaScriptPHPCSSPythonDJANGOWORDPRESSCODEIGNITERJOOMLABackbonejsAngularJsionic frameworkAMAZON Web ServicesReactjsnodeJSC++ Keyskills:    Python, Django, MySQL, Unity3D, AWS   Keyskills:    Java,J2EE,Spring-Boot,Hibernate,JPA,Scala, Python, Kafka, Gobblin, Spark, Hadoop, AngularJS, MongoDB, Big  ...View More  Data, Machine Learning    Keyskills:    HTML, CSS, Javascript, Jquery, Wordpress, PHP, MySql, CSS3, AngularJS   Keyskills:    Nodejs,MongoDB,AngularJS,Stronloop  ...View More  Loopback,ExpressJS,PHP,CodeIgniter,MySql,Javascript,Jqyery,AJAX,HTML,css,Java(core and advance),C language,wamp and xampp,Elastic Search, Git + bitbucket    Keyskills:    Programming Languages	:  Nodejs, ReactJs, AngularJs, Mongodb, Redis, AWS,Java,  ...View More  C,C++,PHP,Dotnet,Javascript,HTML,AJAX,Joomla FrameworkOperating System		: Windows , Linux    Keyskills:    PHP, Python, HTML, CSS, SQL, JavaScript, Ajax, Javascript, JQuery, Django, MySQL, Postgresql, Solr, Lucene,  ...View More  Search Engine, kibana, MongoDB, vagrant, docker,    Keyskills:    Microsoft Technologies, Java, AngularJs, Node.Js, Cloud Hosting, Linux Server Professional, Python, Django,  ...View More  MongoDB, MySQL, HL7    Keyskills:    NodeJS, MongoDB, AngularJS, React, Python, Product Management, Software Development, Web Applications,  ...View More  Angular, EXPRESS, JavaScript, HTML, CSS    Keyskills:    Phonegap, Android, Lotus Notes, Lotus Script, Formula Language, XPages, JavaScript, ServerSide JavaScript,  ...View More  Java, Dojo Toolkit, CSS, HTML, JQuery, RDBMS, C, C++, LAMP, PHP, CakePHP, MySQL, Linux, AngularJS, Bootstrap,NodeJS,Cloudera, Hadoop,, CoreJava"
15,"code optimisation and page load time optimisation, Html/Css writeup (HAML/HAMLC/LESS), PHP, Codeigniter(MVC Architechture), Javascript, Jquery and Unit testing, writing test cases / test plans   IT Skills Details  Ajax,LAMP,Test Planning,UI Development,Google Api,Software Development,MySQL,MVC Framework,Software Engineering,Mobile DevelopmentHighly motivated FullStack developer , worked on LAMP development for 99acres.com(2.5 yrs) , now work as a Frontend Ninja for Housing.com

Have Exposure to : LAMP STACK , JS , BACKBONE JS , REACT JS , HTML/HAML, CSS/LESSSkill UsedSkill UsedSkill UsedPHPCSSJavaScriptJQUERYHTMLBackbone jsReact jsMocha JSChai js Keyskills:    Javascript, EmberJS, React, BackboneJS, MVC Architecture, C, C++, Clojure, Ruby, GIT,   Keyskills:    UI development (HTML/CSS,Javascript),Backbone JS, Angular , Dot template,jade Template, Express JS, Underscore  ...View More  JS, ASP.net, Microsoft SQL server, .NET Framework With C#, JavaScript,Coffeescript, Underscore JS, Backbone JS, NODE    Keyskills:    Ruby Rails, PHP, Python, Java, Machine Learning,   Keyskills:    Javascript, Java, Python, PHP,C++   Keyskills:    C, C++, HTML/CSS, Java, Spring, REST, DotNet, MySQL, NoSQL, Cassandra, CouchBase, Amazon Web Services,  ...View More  Eucalyptus, CloudStack, Stackato, Hadoop, Ruby Rails    Keyskills:    Oracle,Java,Struts2,Spring,Unix,Pl/SQL,J2EE,Shell Script, Ruby Rails, Postgresql, Redis, AWS,   Keyskills:    Javascript,  Node.js, Backbone.js, React.js, HTML, CSS3, SASS, Ruby on Rails, MongoDB, Postgresql,  ...View More  backbone.js, React.js, CSS    Keyskills:    Algorithms,Data-structures,Operating Systems,Ruby,Go,Javascript,Python,Ruby Rails,C++"
16,"HTML5,CSS3,Javascript,Dreamweaver,Photoshop,Illustrator,HTML   IT Skills Details  JQuery,DHTML,Web DesigningI have Strong Knowledge of HTML 5, CSS3,java script, j query, Dreamweaver Photoshop.Skill UsedHTML Keyskills:    HTML,HTML5,CSS,Javascript,jQuery,Web Designing,Photoshop,Bootstrap, Wordpress,   Keyskills:    html/5, css2/3,jQuery,Bootstrap, Less  basic JavaScript,, BOOTSRAP   Keyskills:    HTML, HTML5, CSS, CSS3, Javascript, Photoshop, Jquery, Responsive Design, Bootstrap, Dreamweaver, WordPress,,  ...View More  Adobe Photoshop    Keyskills:    HTML,HTML5,CSS,CSS3,BOOTSTRAP,LESS,jQuery,Dreamweaver,wordpress,Photoshop,MS-office,Corel  ...View More  Draw,Illustrator,basic JavaScript    Keyskills:    Html,Html5,Css,Css3,java script,jquery,responsive design   Keyskills:    javascript(beginner),bootstrap,HTML,HTML5,CSS,css3,dreamweaver,sublime,photoshop,html designer   Keyskills:    Web Designing,HTML,Photoshop,CSS,HTML developer,UI Designer,UI Developer,Web Developer,Dreamweaver   Keyskills:    UI Developer, Web Designer, HTML, HTML5,  CSS, CSS3,  PHOTOSHOP, Java Script, BOOTSTRAP, jQuery   Keyskills:    web designing,HTML,Photoshop,CSS,Illustrator,Graphics,User Interface Designing,Logo Design,Dreamweaver,Web  ...View More  Development,Javascript,JQuery,CS3    Keyskills:    Backend,BPO,Data Entry,Domestic,Computer Operating,CSA"
17,"Core PHP,CodeIgniter,Cake Php ,YII framework ,Wordpress ,Webservices,MySql,JQuery,Json,Javascript,AngularJs,HTML,Dreamview,OOPS   IT Skills Details  Ajax,Codeigniter Framework,CakePHP,Web Development"
18,"Key Account Management,MIS and Reporting,Pipeline Management.,corporate sales,large account management,business development  Corporate Business Development,Corporate Marketing,Solution Selling,Team Management,Strategic Account Management,Channel Sales Management,Account Relationship Management,Key Accounts,Media Sales,Concept Selling"
19,"Senior Sales Officer, Sales Exec./Officer,Sales,Key Account Management,Branding,Content Development,Brand Awareness,Lead Generation,Marketing,After Sales Support,Client Relationship Mgmt,Product Training,Promotional Strategies  Strategic Marketing Planning,Business Development,Sales Management,Strategic Sales Planning,Key Accounts,Business Alliances,Sales Development,Product Sales,Sales Lead Generation,Market Planning"
20,"php mysql, PHP, Wordpress, Codeigniter, Yii, HTML, CSS, Java Script   IT Skills Details  Codeigniter Framework,Core Java,Javascript,Magento,C++,Web Technologies,Software DevelopmentSoftware Engineer and PHP Developer with 4 Year Experience with Yii, Codeigniter, WordPressPHPYIICodeingniter Keyskills:    PHP, MySQL, OOP, Redis, MongoDB, Javascript, Ajax, JQuery, JSON, Facebook API, Codeigniter, HTML, CSS, Smarty,  ...View More  Wordpress, Joomla, Opencart, Magento, boonex dolphin, .Net, C#, Zend Framework, Laravel Framework, Lumen, SQL Server, angular.js    Keyskills:    CakePHP,Core PHP,jQuery,MySQL,Ubuntu Linux,HTML,Web Services,API,CSS,Client Handling,Process  ...View More  Definition,Process Development,ERP Functional, JavaScript, Apache Web Server    Keyskills:    HTML, CSS,PHP, MySql,Wordpress, CakePHP, Java  Script, Jquery, Ajax   Keyskills:    Web Development, PHP, MySQL, Javascript, HTML, Codeigniter Framework, YII Framework, Core PHP,   Keyskills:    CodeIgniter,  PHP 5.3.23,Wordpress, magento ,HTML, mySQL, css3 , Hadoop, Pig, HBase, NoSQL, Hive, sqoop, flume   Keyskills:    PHP, MySQL, AJAX, Javascript ,HTML,Zend, Wordpress, LARAVEL,SOLR,Redis   Keyskills:    Core PHP, Codeigniter, Laravel, Symfony, Zend Framework,Phalcon, Wordpress,AngularJs, jQuery, Servlets, JSP,  ...View More  Struts, JDBC, apache solr , AngularJs, NodeJs, Eclipse IDE, NetBeans    Keyskills:    php, mysql, ajax, jquery, javascript, html, css, html5, css5   Keyskills:    PHP, MySQL, jQuery, Ajax, javascript, HTML5, YII Framework, MVC, OOPS, Bootstrap, Redis, Pjax, Codeigniter  ...View More  Framework, HTML 5    Keyskills:    PHP 5,Mysql,Codeigniter framwork,HTML,Smarty,Java Scrip,Jquery,Ajax,JSON,Curl,redis, JavaScript"
21,"PHP/PHP 5, Laravel, Yii, Codeigniter, CakePHP, Zend Framework, Wordpress,  MySQL, Apache Solr,  Jquery, AJAX, Angular JS   IT Skills Details  Core PHP,HTML,Codeigniter Framework,Facebook API,Javascript,Google Api4 years  of experience in Web Development with PHP/PHP 5, MySQL, Apache Solr,  PHP Frameworks (Laravel, Yii, Codeigniter, CakePHP, Zend Framework, Wordpress), Jquery, Jquery UI,  Angular JS, BootstrapJQUERYAJAXCODEIGNITERMySQLPHPCAKEPHPZEND FRAMEWORKAngular jsApache SolrYII Keyskills:    PHP,Laravel Framework, MongoDB, Ruby On Rails Language , Codeigniter, MVC architecture, Javascript , Mysql ,  ...View More  Jquery , AJAX , PDO , Json , OOPS Concept ,working on vi editor    Keyskills:    PHP 5,Mysql,Codeigniter framwork,HTML,Smarty,Java Scrip,Jquery,Ajax,JSON,Curl,redis, JavaScript   Keyskills:    Core PHP,OOPS  ...View More  PHP,MongoDB,MYSQL,HTML,CSS,,XML,AJAX,JQUERY,javascript,Codeigniter,,Laravel,CakePHP,Bootstrap,Webdesigning,MVC,YII,Symphone,Node Js, Angular Js, Express Js,Node JS,MEAN,UI,JAVASCRIPT,reactjs,Less Css, Scss,Compass, MEAN Stack, UI Developement    Keyskills:    PHP ,mysql,ajax,javascript,jquery,zend,codeigniter,wordpress,magento, Drupal 7,Slim Framework   Keyskills:    Core PHP, Codeigniter, Laravel, Symfony, Zend Framework,Phalcon, Wordpress,AngularJs, jQuery, Servlets, JSP,  ...View More  Struts, JDBC, apache solr , AngularJs, NodeJs, Eclipse IDE, NetBeans    Keyskills:    jQuery,jQuery mobile,Web Services,PHP,Yii framework 1.x and  ...View More  2.x,Codeigniter,Prestashop,Javascript,Ajax,Json,Payment Gateway(HDFC,Paypal,PhpMyadmin,Redis,MongoDB,MySQL,GIT,HTML,LAMP,Core PHP,CSS,Web Development,XML,Curl    Keyskills:    Magento,core php / cms, wordpress, zf, mvc,java, mysql, javascript, jquery,jquery,Magento   Keyskills:    PHP,mysql,Zend,doctrine,Opencart,wordpress,AJAX, Oracle,java, C++, HTML,JSP, PHP, JavaScript, CSS, Jquery, Php  ...View More  Unit, Mockery , Frisby, GIT, API Manufacturing,Ubantu,Linux,Loggly,JIRA, Tortoise SVN, Symfony, SOAP, Curl, Symphony,    Keyskills:    yii2,Oracle,php,mysql,html,css,javascript,jquery,photoshop,mvc,yii framework,ajax,json,Node.Js,MongoDB,MySQL  ...View More  Db,HTML,Codeigniter,Core PHP,PHP,Curl,MVC Framework,WAMP,Zend Framework,Software Development,NetBeans,Dreamweaver,CSS,Oracle DBA    Keyskills:    PHP, HTML, JAVASCRIPT, AJAX, MYSQL,JQUERY, CSS CAKEPHP FRAMEWORK, Angular js"
22,"PHP,MYSQL,Cakephp,Smarty,Yii Framework,HTML,Jquery,Javascript,Ajax,CSS,Wordpress,API Development,Codeigniter,Linux,SVN   IT Skills Details  Codeigniter Framework,Payment Gateways,Web Development"
23,"Digital Media,Online Media Sales,Concept Sales,Enterprise Sales,Head Sales,Business Development Head,National Sales Manager,National Sales Head,Director Sales,AVP Sales,VP Sales,General Manager Sales   IT Skills Details  Marketing Management,Corporate Sales,Key Account Management,Area Sales Management,General Management,New Market Development,Space Selling,Solution Selling,Strategic Business Planning,Revenue Generation"
24,"Large Accounts Handling ,CHANNEL MANAGEMENT,BUGETING,TEAM MANAGEMENT, Business Development, Key Account Management, Enterprise Sales, Corporate Sales,Hunting, Farm Management,   IT Skills Details  New Business Development,Channel Sales Management,Marketing,Channel Development,Sales Development,Channel Distribution,Territory Sales Management,Key Accounts,Channel Handling,Team Handling"
25,"PHP,Ajax,Javascript,Magento,Codeigniter,Zend Framework,MVC framework   IT Skills Details  JQuery,MySQL,Drupal,HTML,Twitter API,Facebook API,Google Api"
26,"php, php frameworks, programming   IT Skills Details  Software Engineering,Codeigniter,Software Development,Yii,Javascript,Web Development,Laravel,Symfony,MySQL,Software Design"
27,"PHP Developer   IT Skills Details  MySQL,Web Development,Information Technology,Codeigniter,Yii,Magento,Web Technologies,HTML,Software Development,Web Designing"
28,"Object Oriented Programming, MongoDB, MySQL, PHP, Joomla, Wordpress,yii framework, Javascript, Ajax, STL, Multithreading, Sockets, API, Payment Processing, CSS, HTML, Linux, Leadership, Project Development, Time Management,   IT Skills Details  Core PHP,JQuery,Wordpress CMS,Twitter API,Curl,Facebook API,C++,C,JSON,Google Api"
29,"PHP, MySQL, CSS3, JavaScript, Ajax, HTML5, AngularJS, jQuery Mobile,   IT Skills Details  Yii,Core PHP,Wordpress,Codeigniter Framework,DHTML,MVC Framework"
30,"Phonegap, worklight, knockout, php,mysql,html,css,jquery,ajax,jquery mobile,twitter bootstrap,yii framework  Javascript,Web Development,Html5,Web Services,WAMP,Web Designing"
31,"Requirement gathering,Business Analysis,Gap Analysis,Client,Customer,Audit,Project/Application Management,Vendor Mgmt,PHP,Drupal CMS,JAVA,.Net,DHTML,XML,JSON,MySQL,MS-SQL,Oracle,IT,ITES,Banking,Trade,Finance,Healthcare,Pharma,Bfsi,Retail,Brd,FRD   IT Skills Details  Business Requirement Analysis,Business Finance,Financial Analysis,Financial Planning,Use Cases,Project Management,Financial Management,Requirements Management,FSD,Project Finance"
32,"C,C++,Oracle,Visual Basic 6.0,C#.net,Asp.net,PHP,HTML,Javascript,Jquery,Google Api,Facebook API,Paypal,Curl,Payment Gateways   IT Skills Details  MySQL,VC++,VB.NET,Software Engineering,Codeigniter"
33,"Requirement gathering,Business Analysis,Gap Analysis,Client,Customer,Audit,Project/Application Management,Vendor Mgmt,Banking,Finance,Trading,Testing,Documentation,Brd,FRD,FSD,UML,Agile,SQL,Java,.Net,PHP,BI   IT Skills Details  Business Requirement Analysis,Use Cases,Project Management,Business Solutions,User Training,Business Case,User Documentation,Business Research Analysis,Security Analysis,Business System"
34,"Manual Testing, Website, Mobile Application Testing, Web Application Testing, Software Testing, Bug Reporting, Bug Life Cycle, SDLC, Defect Life Cycle, PHP,DRUPAL7,HTML,CSS,AJAX,JQUERY,JAVASCRIPT.   IT Skills Details  Functional Testing,Regression Testing,Database Testing,Test Engineering,Smoke Testing,Sanity Testing,Retesting,System Integration Testing,Writing Test Cases,Test Case Preparation"
35,"c,java,sql server2005,oracle2000, c++, software testing   IT Skills Details  SQL Database,Defect Tracking Tool,Test Engineering,Software Engineering,Selenium Testing,Manual Testing,Software Quality Testing,Bug Reporting,Black Box Testing,Testlink"
36,"whiteflag media & communication  HR Administration,Recruitment,Leave Management,Joining Formalities,Time Office Management,HR Processes,Grievance Handling,Admin Executive,HR Generalist Activities,Administration Management"
37,"*	Manual Testing
*	Functional Testing
*	User Acceptance Testing
*	Web based application testing
*	Writing and executing Test Cases
*	Mantis-Defect Tracking Tool
*	Regression and Negative Testing
*	Knowledge of SDLC , STL  Regression Testing,Black Box Testing,Web Application Testing,Writing Test Cases,Bug Reporting,Test Reporting,Bug Tracking Tool,JIRA,Android Testing,Defect Reporting"
38,"Search Engine Marketing/SEM Specialist, Affiliate Marketing Manager,Pay Per Click/PPC Specialist, Display Marketing Manager   IT Skills Details  Digital Marketing,Google AdWords,Facebook Marketing,Google Analytics,Marketing Management,Marketing Campaigns,Campaign Management,Brand Management,Product Marketing,Industrial Marketing"
39,"Website Designing & Development (in ASP .Net & PHP) 2D Animation, 3D Animation, Graphic Degigning, Application Programming, Softwares   IT Skills Details  Photoshop,Visual C#,Software Development,ASP.Net Ajax,C#.Net,Javascript,HTML,3DSmax,AutoCAD,ASP.Net MVC"
40,"Entity framework,LINQ,.Net,ASP.Net,SQL Server,C#,ADO.Net,Javascript,HTML   IT Skills Details  MS SQL Server,C#.Net,Windows Forms,.NET Framework,MS.net,Software Development"
41,"C#,ASP.NET,jQuery, .NET framework,Microsoft technologies,Oracle business intelligence,MS SQL Server,Eclipse,Visual Studio,Javascript,C,C++,Core Java,Cloud computing, Software testing,HTML5, Data structures, CSS, TFS, Github,   IT Skills Details  Visual C#,ASP.Net Ajax,ADO.Net,Software Development Methodologies,C#.Net,Software Engineering,Entity Framework,VC++,WCF,ASP.Net MVC"
42,"typescript,Angular 2, AngularJS 1.X, ASP .NET MVC,RDBMS,SQL,,Python,Core PHP, HTML5 ,CSS3 ,Data Structures,C Programmer,Programming,Javascript,Visual Studio,C#,C#.Net,ADO.Net,ASP.Net,ASP.Net MVC,Entity Framework,SQL Database,SQL Server, SAP ABAP,   IT Skills Details  JQuery,Software Development,C,C++"
43,"C,C++,C#,HTML,HTML5,XML,Javascript,JQuery,Agile Methodology,Core Java,ASP.Net,C#.Net,.Net 4.5   IT Skills Details  ASP.Net Ajax,ADO.Net,MS SQL Server,Kendo Ui,Telerik,JQuery Mobile,Software Development,Visual C#,MS Visual Studio.net,.NET Framework"
44,"seo writing, article writing, content designer, content writer, photoshop,seo writing,blog writing,article writing,web content writing,content writer  Creative Writing,Content Editing,Content Development,Proof Reading,Blogs,Copy Writing,Articles,Creative Content,Content Designing"
45,"Content Writing, Article Writing, Blog Writing, Product Descriptions, Website Content, E-mail Marketing   IT Skills Details  Web Content Writing,Creative Writing,SEO Writing,Content Development,Copy Writing,Articles,Blogs,Business Writing"
46,"Indesign,Illustrator,Photoshop,Dreamweaver,Flash,HTML   IT Skills Details  Graphic Designing,Adobe Premiere Pro,Adobe After Effects,Logo Design,Graphics,Creative Designing"
47,"Indesign,Photoshop,Graphic Designing,Corel Draw,Illustrator   IT Skills Details  Graphics,Visualiser,Pagemaker,Web Designing,User Interface Designing"
48,"Search Engine Marketing SEM (Google, Yahoo, MSN), Search Engine Optimization SEO, SMO, Social Media Marketing SMM, HTML, DHTML(vbscript & javascript), Photoshop, Illustrator,  Dreamweaver, Flash, CSS, Adwords Editor, Google Analytics, Adcenter Tool   IT Skills Details  SEO Analysis,Online Marketing,Google AdWords,Web Marketing,PPC,Yahoo Search Marketing,Email Marketing,Affiliate Marketing,Facebook Marketing,Keyword Research"
49,"PHP, MY Sql,Amazon AWS, REST API, LINUX,LAMP   IT Skills Details  MySQL,Zend Framework,Team Leading,Smarty,Ajax,Ubuntu Linux,Javascript,Web Services,XML,HTML"
